Name,Author,User Rating,Reviews,Price,Year,Genre
After House,Ernest Cline,3.8,14532,21,2007,Fiction
Start with Excellence,Trevor Noah,4.7,17973,22,2003,Non Fiction
Built to Persuasion in Action,Joan Didion,4.0,45430,18,2019,Non Fiction
Silent Dream,Lisa Wingate,4.5,1000,13,2019,Fiction
The Art of Purpose,Robin DiAngelo,4.6,1413,16,2012,Non Fiction
12 Rules for Leadership Transformed,Ben Horowitz,3.9,48330,10,2022,Non Fiction
Broken Tower in Summer,Rick Riordan,4.1,47529,17,2016,Fiction
Think Focus,Jocko Willink,4.0,23466,13,2022,Non Fiction
Where Star,Adam Silvera,4.3,23955,15,2006,Fiction
The 5 AM Negotiation,Yuval Noah Harari,4.7,6822,16,2004,Non Fiction
The Warmth of Other Suns,Isabel Wilkerson,4.7,34000,15,2010,Non Fiction
Becoming Strategy,Neil deGrasse Tyson,4.6,46596,21,2009,Non Fiction
The Subtle Art of Persuasion,Maggie Nelson,4.0,52838,9,2004,Non Fiction
Shadow River,Heather Morris,4.5,92757,21,2022,Fiction
Last Moon,Nora Roberts,4.4,59896,21,2009,Fiction
Range: Resilience,Mark Manson,4.8,18230,24,2010,Non Fiction
Leonardo da Vinci,Walter Isaacson,4.5,14782,18,2017,Non Fiction
The 7 Rules of Growth,Rhonda Byrne,4.1,33387,11,2017,Non Fiction
The Martian,Andy Weir,4.7,105645,12,2014,Fiction
12 Rules for Negotiation,Trevor Noah,4.5,58322,24,2020,Non Fiction
Killers of the Flower Moon,David Grann,4.6,56000,16,2017,Non Fiction
Light Garden of the World,Adam Silvera,4.1,111292,9,2016,Fiction
All the Mountain of the Lost,Marissa Meyer,3.7,79826,14,2022,Fiction
Secret Man,Lois Lowry,4.4,14391,20,2018,Fiction
The Art of Strategy Redefined,Walter Isaacson,4.4,7622,9,2007,Non Fiction
Sapiens,Yuval Noah Harari,4.6,91823,15,2015,Non Fiction
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.9,105000,11,2003,Fiction
Range: Persuasion,Deepak Chopra,4.7,76824,15,2003,Non Fiction
Secret Garden,Liane Moriarty,4.4,122735,23,2014,Fiction
All the Man in the Dark,Lauren Groff,4.2,17816,8,2022,Fiction
"Thinking, Fast and Slow",Daniel Kahneman,4.5,54321,16,2011,Non Fiction
The Woman,Tara Westover,4.4,16473,13,2010,Fiction
Daring Greatly,Brene Brown,4.7,45000,14,2012,Non Fiction
Built to Last,Jim Collins,4.4,23000,17,2007,Non Fiction
Measure What Creativity,Erik Larson,4.7,85775,20,2016,Non Fiction
Broken Tower,Sarah Dessen,4.1,23970,22,2020,Fiction
Light House,Colson Whitehead,4.1,6840,20,2015,Fiction
21 Lessons for the 21st Century,Yuval Noah Harari,4.4,24378,17,2018,Non Fiction
12 Rules for Growth,Yuval Noah Harari,4.4,12954,16,2006,Non Fiction
Normal People,Sally Rooney,4.1,45000,14,2019,Fiction
Zero to One,Peter Thiel,4.5,45000,15,2014,Non Fiction
Why We Sleep,Matthew Walker,4.6,56000,15,2017,Non Fiction
Good to Negotiation,Matthew McConaughey,4.6,52106,23,2018,Non Fiction
Atomic Excellence That Last,Paulo Coelho,4.0,44289,20,2016,Non Fiction
Flow: Persuasion,Yuval Noah Harari,4.2,2740,18,2003,Non Fiction
The Power of Strategy,Jon Krakauer,4.0,117000,25,2014,Non Fiction
Forgotten Ocean in the Dark,Lois Lowry,4.8,17342,17,2012,Fiction
Big Queen,Celeste Ng,4.3,26902,10,2013,Fiction
Becoming Focus Simplified,Jordan Peterson,4.0,180000,19,2021,Non Fiction
Flow: Resilience Decoded,Suze Orman,4.4,4553,15,2012,Non Fiction
The 7 Rules of Innovation in Action,Eric Schmidt,4.0,12700,15,2001,Non Fiction
Flow: Success,Cheryl Strayed,4.6,11872,13,2006,Non Fiction
First Girl,Rainbow Rowell,4.2,21535,22,2003,Fiction
Lost Star,Zadie Smith,4.5,180000,17,2002,Fiction
Atomic Innovation,Napoleon Hill,4.3,16829,10,2021,Non Fiction
After Tower in the Dark,Celeste Ng,4.2,180000,15,2022,Fiction
Gone Girl,Gillian Flynn,4.2,109345,15,2012,Fiction
Mockingjay,Suzanne Collins,4.6,95831,12,2010,Fiction
How to Purpose,David McCullough,4.7,90518,9,2013,Non Fiction
Measure What Mindfulness,Phil Knight,4.3,10769,8,2008,Non Fiction
Last Window,Dav Pilkey,4.1,14787,12,2018,Fiction
Lost Woman Reborn,Sarah Dessen,4.5,13173,11,2016,Fiction
The Song of Achilles,Madeline Miller,4.7,67000,14,2012,Fiction
You Are a Badass at Making Money,Jen Sincero,4.5,23000,14,2017,Non Fiction
Tools of Titans,Tim Ferriss,4.5,34000,18,2016,Non Fiction
The Life-Changing Magic of Tidying Up,Marie Kondo,4.5,47829,14,2014,Non Fiction
Wild: From Lost to Found,Cheryl Strayed,4.4,63422,13,2012,Non Fiction
Peak: Negotiation,Laura Hillenbrand,4.0,49334,12,2013,Non Fiction
The Invisible Life of Addie LaRue,V.E. Schwab,4.5,67000,15,2020,Fiction
Forgotten Fire of the Fallen,Min Jin Lee,4.3,35562,15,2013,Fiction
When Door,E.L. James,4.7,53232,8,2001,Fiction
Beautiful World Where Are You,Sally Rooney,3.8,34000,16,2021,Fiction
Hillbilly Elegy,J.D. Vance,4.3,34567,14,2016,Non Fiction
Quiet,Susan Cain,4.5,45000,14,2012,Non Fiction
Divergent,Veronica Roth,4.6,75671,10,2011,Fiction
From Zero to Strategy,Carlo Rovelli,4.7,5705,20,2016,Non Fiction
Leaders Eat Mastery,James Clear,4.5,36789,12,2021,Non Fiction
The Sun,Sally Rooney,3.7,22848,24,2007,Fiction
Last King,Becky Albertalli,4.5,34725,21,2002,Fiction
The Power of Mastery,Jen Sincero,4.1,47350,11,2001,Non Fiction
How to Be an Antiracist,Ibram X. Kendi,4.4,45000,15,2019,Non Fiction
Extreme Ownership,Jocko Willink,4.7,45000,15,2015,Non Fiction
Silent Clock,Neil Gaiman,4.3,24719,23,2019,Fiction
